ID,Name,Sex,Age,Height,Weight,Team,NOC,Year,City,Sport,Medal
6528,Enrico Bacher,M,23.0,,,Italy,ITA,1964,Innsbruck,Ice Hockey,Bronze
98551,Limba Ram,M,16.0,157.0,48.0,India,IND,1988,Seoul,Archery,Silver
17560,Alyn Camara,M,27.0,196.0,84.0,Germany,GER,2016,Rio de Janeiro,Athletics,Silver
126581,Emilio Villa,M,19.0,177.0,62.0,Colombia,COL,1972,Munich,Boxing,Gold
8174,"Jack Leonard ""Jay"" Barrs, Jr.",M,30.0,182.0,70.0,United States,USA,1992,Barcelona,Archery,Bronze
6540,"Andrzej Bachleda-Curu, III",M,23.0,179.0,78.0,Poland,POL,1998,Nagano,Alpine Skiing,Gold
87893,"Anthony ""Tony"" O'Connor",M,27.0,185.0,72.0,Ireland,IRL,1996,Atlanta,Rowing,Silver
110927,Sin Hyeon-Ju,M,30.0,171.0,65.0,South Korea,KOR,1964,Tokyo,Shooting,Gold
49383,Nina Hollensen,F,24.0,183.0,72.0,Denmark,DEN,2016,Rio de Janeiro,Rowing,Bronze
58443,Mariam Pauline Keita,F,20.0,160.0,50.0,Mali,MLI,2004,Athina,Swimming,Silver
18255,Gustaf Eric Carlberg,M,32.0,175.0,,Sweden,SWE,1912,Stockholm,Fencing,Silver
3195,Sergio lvarez Boulet,M,20.0,155.0,56.0,Cuba,CUB,2000,Sydney,Weightlifting,Bronze
34557,Ivo Felix,M,20.0,174.0,68.0,Czechoslovakia,TCH,1976,Innsbruck,Ski Jumping,Gold
47175,William Hehir,M,33.0,,,Great Britain,GBR,1920,Antwerpen,Athletics,Silver
17786,Emilio Campos,M,25.0,171.0,71.0,Venezuela,VEN,1980,Moskva,Football,Silver
39387,Moritz Josef Geisreiter,M,26.0,200.0,97.0,Germany,GER,2014,Sochi,Speed Skating,Gold
107383,"Donald Arthur ""Don"" Schollander",M,18.0,180.0,79.0,United States,USA,1964,Tokyo,Swimming,Bronze
98702,Benito Ramos Ramos,M,34.0,170.0,71.0,Mexico,MEX,1952,Helsinki,Fencing,Gold
10583,Hamid Berhili,M,32.0,,51.0,Morocco,MAR,1996,Atlanta,Boxing,Silver
96950,"Simeon Taylor ""Sim"" Price, Jr.",M,22.0,,,United States,USA,1904,St. Louis,Golf,Bronze
61531,Ernst Gnther Jakob Kndler,M,27.0,,,Saar,SAA,1952,Helsinki,Fencing,Bronze
53115,"James Earl ""Jimmy"" Jackson",M,19.0,198.0,150.0,United States,USA,1976,,Wrestling,Gold
58458,Vladimr Kej,M,27.0,,,Czechoslovakia,TCH,1956,Melbourne,Gymnastics,Gold
127579,Aleksey Ivanovich Voyevoda,M,25.0,195.0,105.0,Russia-1,RUS,2006,Torino,Bobsleigh,Gold
44335,Gwon Sun-Geun,M,19.0,173.0,67.0,South Korea,KOR,1988,Seoul,Swimming,Silver
3366,Massimo Ambrosini,M,23.0,184.0,77.0,Italy,ITA,2000,Sydney,Football,Bronze
72960,Chand C. Machiah,M,,,,India,IND,1976,Montreal,Boxing,Bronze
1374,Tontowi Ahmad,M,25.0,179.0,72.0,Indonesia,INA,2012,London,Badminton,Gold
116258,"Wilhelm ""Willi"" Suhren",M,24.0,,,Germany,GER,1952,Helsinki,Hockey,Gold
21000,Choi Gi-Su,M,30.0,177.0,80.0,South Korea,KOR,2000,Sydney,Boxing,Bronze
45624,Mamadou Kasse Hanne,M,25.0,189.0,79.0,Senegal,SEN,2012,London,Athletics,Bronze
41040,Gina Elena Gogean (-Groza),F,13.0,150.0,40.0,Romania,ROU,1992,Barcelona,Gymnastics,Bronze
29778,Christopher Dowling,M,16.0,172.0,71.0,Malta,MLT,1960,Roma,Swimming,Silver
108479,Anthony Sellier,M,25.0,179.0,62.0,Trinidad and Tobago,TTO,1976,Montreal,Cycling,Silver
103927,"Elizaveta Vladimirova ""Lisa"" Ryzih",F,23.0,179.0,62.0,Germany,GER,2012,London,Athletics,Bronze
41079,Maxime Goisset,M,23.0,182.0,71.0,France,FRA,2008,Beijing,Rowing,Silver
94648,Olena Mykhailivna Pidhrushna,F,23.0,176.0,65.0,Ukraine,UKR,2010,Vancouver,Biathlon,Gold
65808,Eugne Laermans,M,26.0,,,Belgium,BEL,1936,Berlin,Fencing,Gold
